column,N,min,p16,median,mean,p84,max
Maj_pc,72,220.0,264.0,319.0,344.0048611111111,420.0,504.0
Min_pc,72,184.8,255.2,287.55,319.9484027777778,420.0,504.0
axis_ratio,72,0.7,0.9,0.95,0.9256944444444445,1.0,1.0
geom_mean_size_pc,72,208.71032557111303,264.0,306.7763558387599,331.38266938293805,420.0,504.0
area_ellipse_pc2,72,34211.94399759285,54739.11039614856,73928.68481757617,90938.0254815116,138544.23602330987,199503.69987356622
PA_astro_deg,72,-90.0,-90.0,-45.0,-27.430555555555557,45.0,85.0
PA_mod_180_deg,72,15.0,45.0,90.0,87.56944444444444,135.0,175.0
v_center_kms,72,-590.1222741265744,-530.9044803208934,-342.6941663033945,-348.6507688991377,-175.10286127116058,-140.6278782477975
v9_final_score,72,0.755273545287454,0.8164941443170577,0.8475295368397819,0.8484004213033984,0.8824959193174805,0.9454408735891768
v9_delta_bic_cavity,72,6219.933746147704,39594.368790426764,71606.8576912726,84525.26283218565,124919.96228382026,307989.2528820266
v9_cavity_amp_sn,72,78.9167456160976,198.99368404965222,267.60795508499814,276.65360639852884,353.4511694448052,554.9749290504161
v9_gradient_to_core_ratio,72,0.1559381084133371,0.3473526771075243,0.5865461962319063,0.5690707251387117,0.779242770355731,0.8481799626202444
